0.01	0.44802	0.000116949	-0.00148737	44.8208	0.0485462	4.1856	-0.00624374	0.100473	-0.000853861	-1.74544	0.171626	-0.241856	-2.3988e+061	-3.42586e+060	-2.3988e+061	-3.42586e+060	-2.3988e+061	-3.42586e+060	-2.3988e+061	-3.42586e+060	
0.02	0.901386	0.000793433	-0.00699167	45.4885	0.191815	3.98916	-0.0403522	0.104102	-0.00562675	-4.89312	0.577445	-0.678077	-4.17592e+061	-1.12928e+061	-4.17592e+061	-1.12928e+061	-4.17592e+061	-1.12928e+061	-4.17592e+061	-1.12928e+061	
0.03	1.36112	0.00193888	-0.0169337	46.1309	0.403721	3.98991	-0.104028	0.111286	-0.0148826	-7.57095	0.988856	-1.04152	-5.49248e+061	-2.10688e+061	-5.49248e+061	-2.10688e+061	-5.49248e+061	-2.10688e+061	-5.49248e+061	-2.10688e+061	
0.04	1.82712	0.00317884	-0.0314817	46.7461	0.65743	4.19877	-0.193041	0.121338	-0.028554	-9.85352	1.40161	-1.33491	-6.46783e+061	-3.1236e+061	-6.46783e+061	-3.1236e+061	-6.46783e+061	-3.1236e+061	-6.46783e+061	-3.1236e+061	
0.05	2.29924	0.00395072	-0.0508797	47.3308	0.909564	4.621	-0.303892	0.133331	-0.0467513	-11.8026	1.81109	-1.56348	-7.19041e+061	-4.09349e+061	-7.19041e+061	-4.09349e+061	-7.19041e+061	-4.09349e+061	-7.19041e+061	-4.09349e+061	
0.06	2.77734	0.00349503	-0.0754043	47.8807	1.10683	5.25124	-0.433661	0.146134	-0.0696555	-13.4684	2.21243	-1.73558	-7.72572e+061	-4.97255e+061	-7.72572e+061	-4.97255e+061	-7.72572e+061	-4.97255e+061	-7.72572e+061	-4.97255e+061	
0.07	3.26125	0.000845727	-0.105308	48.3917	1.19331	6.07017	-0.579866	0.158428	-0.0974168	-14.8909	2.60107	-1.86265	-8.1223e+061	-5.74271e+061	-8.1223e+061	-5.74271e+061	-8.1223e+061	-5.74271e+061	-8.1223e+061	-5.74271e+061	
0.08	3.75076	-0.00517085	-0.140746	48.8609	1.11798	7.04351	-0.740321	0.168712	-0.130049	-16.1018	2.97351	-1.95888	-8.41611e+061	-6.40137e+061	-8.41611e+061	-6.40137e+061	-8.41611e+061	-6.40137e+061	-8.41611e+061	-6.40137e+061	
0.09	4.24564	-0.0159181	-0.181691	49.2864	0.841954	8.12374	-0.913003	0.17533	-0.167314	-17.1261	3.32812	-2.04023	-8.63377e+061	-6.9546e+061	-8.63377e+061	-6.9546e+061	-8.63377e+061	-6.9546e+061	-8.63377e+061	-6.9546e+061	
0.1	4.74565	-0.0329034	-0.227845	49.6684	0.344234	9.25448	-1.09593	0.176518	-0.2086	-17.9839	3.66577	-2.12319	-8.79502e+061	-7.4128e+061	-8.79502e+061	-7.4128e+061	-8.79502e+061	-7.4128e+061	-8.79502e+061	-7.4128e+061	
